//Index   AllowDrop   AllowSell   AllowTrade   AllowVault   Comment
6269      0           1           1            1            //Seed Sphere (Water)
6270      0           1           1            1            //Seed Sphere (Ice)
6271      0           1           1            1            //Seed Sphere (Wind)
6272      0           1           1            1            //Seed Sphere (Lightning)
6273      0           1           1            1            //Seed Sphere (Earth)
6656      1           1           1            1            //Guardian Angel
6657      1           1           1            1            //Imp
6658      0           1           1            1            //Horn of Uniria
6659      0           1           1            1            //Horn of Dinorant
6675      1           0           0            0            //Absolute Weapon of Archangel
6676      1           1           0            0            //Wizards Ring
6693      0           1           1            1            //Horn of Fenrir
6694      1           1           0            1            //Moonstone Pendant
6695      1           1           0            1            //Eilte Transfer Skeleton Ring
6710      0           1           1            1            //Reset Fruit Strength
6711      0           1           1            1            //Reset Fruit Quickness
6712      0           1           1            1            //Reset Fruit Health
6713      0           1           1            1            //Reset Fruit Energy
6714      0           1           1            1            //Reset Fruit Control
6720      0           1           1            1            //Demon
6721      0           1           1            1            //Spirit of Guardian
6723      0           1           0            1            //Pet Rudolf
7181      0           1           1            1            //Jewel of Bless
7182      0           1           1            1            //Jewel of Soul
7184      0           1           1            1            //Jewel of Life
7190      0           1           1            1            //Jewel of Creation
7209      0           1           1            1            //Gemstone
7210      0           1           1            1            //Jewel of Harmony
7211      0           1           1            1            //Lower refining stone
7212      0           1           1            1            //Higher refining stone
7221      0           1           1            1            //Talisman of Luck
7232      1           0           0            0            //Cursed Castle Water
7264      0           1           1            1            //Talisman of Chaos Assembly
6702      0           1           0            1            //DS Ticket
6703      0           1           0            1            //BC Ticket
6704      0           1           0            1            //Kalima Ticket
7269      0           1           1            1            //Jewel of Luck
7270      0           1           1            1            //Jewel of Skill
7271      0           1           1            1            //Jewel of Excellent
7272      0           1           1            1            //Jewel of Ancient
7279      0           1           0            1            //Premium Card Bronze
7280      0           1           0            1            //Premium Card Silver
7281      0           1           0            1            //Premium Card Gold

3701      0           1           0            1            //Red Phoenix Helm 
4213      0           1           0            1            //Red Phoenix Armor 
4725      0           1           0            1            //Red Phoenix Pants 
5237      0           1           0            1            //Red Phoenix Gloves 
5749      0           1           0            1            //Red Phoenix Boots 
3702      0           1           0            1            //Brilliant Soul Helm 
4214      0           1           0            1            //Brilliant Soul Armor 
4726      0           1           0            1            //Brilliant Soul Pants 
5238      0           1           0            1            //Brilliant Soul Gloves 
5750      0           1           0            1            //Brilliant Soul Boots 
3703      0           1           0            1            //Divine Helm of Elements
4215      0           1           0            1            //Divine Armor of Elements
4727      0           1           0            1            //Divine Pants of Elements
5239      0           1           0            1            //Divine Gloves of Elements
5751      0           1           0            1            //Divine Boots of Elements
4216      0           1           0            1            //Vengeful Hawk Armor 
4728      0           1           0            1            //Vengeful Hawk Pants 
5240      0           1           0            1            //Vengeful Hawk Gloves 
5752      0           1           0            1            //Vengeful Hawk Boots 
3712      0           1           0            1            //Pure Master Helm 
4224      0           1           0            1            //Pure Master Armor 
4736      0           1           0            1            //Pure Master Pants 
5248      0           1           0            1            //Pure Master Gloves 
5760      0           1           0            1            //Pure Master Boots 
3726      0           1           0            1            //Vibrant Helm  
4238      0           1           0            1            //Vibrant Armor  
4750      0           1           0            1            //Vibrant Pants  
5262      0           1           0            1            //Vibrant Gloves  
5774      0           1           0            1            //Vibrant Boots

1551	  0	      1		  0	       0	    //Broken Chaos Weapon
7278	  0	      1		  0	       0	    //Map of Dark Souls
7720	  0	      1		  0	       0	    //Rare Key
7721	  0	      1		  0	       0	    //Kundun Orders
6276	  0	      1		  0	       0	    //Beast's Horn
6277	  0	      1		  0	       0	    //Cherry Wine Recipe
4239	  0	      1		  0	       0	    //Wizard's Robe
6741	  0	      1		  0	       0	    //Lizard's Crown
7722	  0	      1		  0	       0	    //Red Ring
7723	  0	      1		  0	       0	    //Totem Ornament
7724	  0	      1		  0	       0	    //Beast's Fang
7725	  0	      1		  0	       0	    //Blue Glass
end
