//Index   ItemMinIndex   ItemMaxIndex   Name                                 Rate   Comment
8         6669           6669           "Mul Physi Damage"                   50     //Pendant of Fire
16        6669           6669           "Add Physi Damage By Level"          50     //Pendant of Fire
32        6669           6669           "Add Excellent Damage Rate"          50     //Pendant of Fire
1         6681           6681           "Add Hunt MP"                        50     //Pendant of Ice
2         6681           6681           "Add Hunt HP"                        50     //Pendant of Ice
4         6681           6681           "Add Speed"                          50     //Pendant of Ice
8         6681           6681           "Mul Magic Damage"                   50     //Pendant of Ice
16        6681           6681           "Add Magic Damage By Level"          50     //Pendant of Ice
32        6681           6681           "Add Excellent Damage Rate"          50     //Pendant of Ice
1         6682           6682           "Add Hunt MP"                        50     //Pendant of Wind
2         6682           6682           "Add Hunt HP"                        50     //Pendant of Wind
4         6682           6682           "Add Speed"                          50     //Pendant of Wind
8         6682           6682           "Mul Physi Damage"                   50     //Pendant of Wind
16        6682           6682           "Add Physi Damage By Level"          50     //Pendant of Wind
32        6682           6682           "Add Excellent Damage Rate"          50     //Pendant of Wind
1         6683           6683           "Add Hunt MP"                        50     //Pendant of Water
2         6683           6683           "Add Hunt HP"                        50     //Pendant of Water
4         6683           6683           "Add Speed"                          50     //Pendant of Water
8         6683           6683           "Mul Magic Damage"                   50     //Pendant of Water
16        6683           6683           "Add Magic Damage By Level"          50     //Pendant of Water
32        6683           6683           "Add Excellent Damage Rate"          50     //Pendant of Water
1         6684           6684           "Add Hunt MP"                        50     //Pendant of Ability
2         6684           6684           "Add Hunt HP"                        50     //Pendant of Ability
4         6684           6684           "Add Speed"                          50     //Pendant of Ability
8         6684           6684           "Mul Physi Damage"                   50     //Pendant of Ability
16        6684           6684           "Add Physi Damage By Level"          50     //Pendant of Ability
32        6684           6684           "Add Excellent Damage Rate"          50     //Pendant of Ability
1         6147           6147           "Add Wing HP"                        50     //Wings of Spirit
2         6147           6147           "Add Wing MP"                        50     //Wings of Spirit
4         6147           6147           "Add Ignore Defense Rate"            50     //Wings of Spirit
8         6147           6147           "Add BP"                             00     //Wings of Spirit
16        6147           6147           "Add Speed"                          00     //Wings of Spirit
1         6148           6148           "Add Wing HP"                        50     //Wings of Soul
2         6148           6148           "Add Wing MP"                        50     //Wings of Soul
4         6148           6148           "Add Ignore Defense Rate"            50     //Wings of Soul
8         6148           6148           "Add BP"                             00     //Wings of Soul
16        6148           6148           "Add Speed"                          00     //Wings of Soul
1         6149           6149           "Add Wing HP"                        50     //Wings of Devil
2         6149           6149           "Add Wing MP"                        50     //Wings of Devil
4         6149           6149           "Add Ignore Defense Rate"            50     //Wings of Devil
8         6149           6149           "Add BP"                             00     //Wings of Devil
16        6149           6149           "Add Speed"                          00     //Wings of Devil
1         6150           6150           "Add Wing HP"                        50     //Wings of Darkness
2         6150           6150           "Add Wing MP"                        50     //Wings of Darkness
4         6150           6150           "Add Ignore Defense Rate"            50     //Wings of Darkness
8         6150           6150           "Add BP"                             00     //Wings of Darkness
16        6150           6150           "Add Speed"                          00     //Wings of Darkness
1         6186           6186           "Add Wing HP"                        50     //Wings of Despair
2         6186           6186           "Add Wing MP"                        50     //Wings of Despair
4         6186           6186           "Add Ignore Defense Rate"            50     //Wings of Despair
8         6186           6186           "Add BP"                             00     //Wings of Despair
16        6186           6186           "Add Speed"                          00     //Wings of Despair
1         6686           6686           "Add Wing HP"                        50     //Cape of Lord
2         6686           6686           "Add Wing MP"                        50     //Cape of Lord
4         6686           6686           "Add Ignore Defense Rate"            50     //Cape of Lord
8         6686           6686           "Add Wing Leadership"                50     //Cape of Lord
1         6180           6180           "Add Ignore Defense Rate"            50     //Wings of Storm
2         6180           6180           "Add Full Damage Reflect Rate"       50     //Wings of Storm
4         6180           6180           "Add D. Full HP Restore Rate"        50     //Wings of Storm
8         6180           6180           "Add D. Full MP Restore Rate"        50     //Wings of Storm
1         6181           6181           "Add Ignore Defense Rate"            50     //Wings of Space Time
2         6181           6181           "Add Full Damage Reflect Rate"       50     //Wings of Space Time
4         6181           6181           "Add D. Full HP Restore Rate"        50     //Wings of Space Time
8         6181           6181           "Add D. Full MP Restore Rate"        50     //Wings of Space Time
1         6182           6182           "Add Ignore Defense Rate"            50     //Wings of Illusion
2         6182           6182           "Add Full Damage Reflect Rate"       50     //Wings of Illusion
4         6182           6182           "Add D. Full HP Restore Rate"        50     //Wings of Illusion
8         6182           6182           "Add D. Full MP Restore Rate"        50     //Wings of Illusion
1         6183           6183           "Add Ignore Defense Rate"            50     //Wings of Hurricane
2         6183           6183           "Add Full Damage Reflect Rate"       50     //Wings of Hurricane
4         6183           6183           "Add D. Full HP Restore Rate"        50     //Wings of Hurricane
8         6183           6183           "Add D. Full MP Restore Rate"        50     //Wings of Hurricane
1         6184           6184           "Add Ignore Defense Rate"            50     //Mantle of Monarch
2         6184           6184           "Add Full Damage Reflect Rate"       50     //Mantle of Monarch
4         6184           6184           "Add D. Full HP Restore Rate"        50     //Mantle of Monarch
8         6184           6184           "Add D. Full MP Restore Rate"        50     //Mantle of Monarch
1         6187           6187           "Add Ignore Defense Rate"            50     //Wings of Violent Wind
2         6187           6187           "Add Full Damage Reflect Rate"       50     //Wings of Violent Wind
4         6187           6187           "Add D. Full HP Restore Rate"        50     //Wings of Violent Wind
8         6187           6187           "Add D. Full MP Restore Rate"        50     //Wings of Violent Wind
1         6659           6659           "Add Dinorant 1"                     50     //Dinorant
2         6659           6659           "Add BP"                             50     //Dinorant
4         6659           6659           "Add Speed"                          50     //Dinorant
1         6693           6693           "Add Fenrir 1"                       50     //Fenrir
2         6693           6693           "Add Fenrir 2"                       50     //Fenrir
4         6693           6693           "Add Fenrir 3"                       50     //Fenrir
end
