//Index   Level   Grade   Value         Comment
6709      *       *       30000         //Condor Feather
6720      *       *       3000          //Demon
6721      *       *       3000          //Spirit of Guardian
6727      *       *       10000         //Sword/Mace/Spear
6728      *       *       10000         //Staff
6729      *       *       10000         //Bow/Crossbow
6730      *       *       10000         //Scepter
6731      *       *       10000         //Stick
7175      0       *       9000          //Siege Potion
7175      1       *       4500          //Siege Potion
7177      1       *       10            //Ale
7181      *       *       900000        //Jewel of Bless
7182      *       *       600000        //Jewel of Soul
7184      *       *       4500000       //Jewel of Life
7185      1       *       150           //Devil's Eye 1
7185      2       *       210           //Devil's Eye 2
7185      3       *       300           //Devil's Eye 3
7185      4       *       450           //Devil's Eye 4
7185      5       *       600           //Devil's Eye 5
7185      6       *       750           //Devil's Eye 6
7185      7       *       900           //Devil's Eye 7
7186      1       *       150           //Devil's Key 1
7186      2       *       210           //Devil's Key 2
7186      3       *       300           //Devil's Key 3
7186      4       *       450           //Devil's Key 4
7186      5       *       600           //Devil's Key 5
7186      6       *       750           //Devil's Key 6
7186      7       *       900           //Devil's Key 7
7187      1       *       600           //Devil's Invitation 1
7187      2       *       8400          //Devil's Invitation 2
7187      3       *       12000         //Devil's Invitation 3
7187      4       *       18000         //Devil's Invitation 4
7187      5       *       24000         //Devil's Invitation 5
7187      6       *       30000         //Devil's Invitation 6
7187      7       *       18000         //Devil's Invitation 7
7188      *       *       9             //Remedy of Love
7189      0       *       90            //Rena
7189      3       *       39            //Mark of Lord
7190      *       *       3600000       //Jewel of Creation
7191      *       *       9000          //Scroll of the Emperor
7192      *       *       9000          //Broken Sword
7193      *       *       9000          //Tear of Elf
7194      *       *       9000          //Soul Shard of Wizard
7196      *       *       6000          //Lost Map
7197      *       *       300           //Symbol of Kundun
7199      *       *       6000000       //Jewel of Guardian
7168      *       *       4             //Apple
7169      *       *       16            //Small Healing Potion
7170      *       *       90            //Medium Healing Potion
7171      *       *       470           //Large Healing Potion
7172      *       *       16            //Small Mana Potion
7173      *       *       85            //Medium Mana Potion
7174      *       *       420           //Large Mana Potion
7203      *       *       200           //Small SD Potion
7204      *       *       400           //SD Potion
7205      *       *       600           //Large SD Potion
7206      *       *       250           //Small Complex Potion
7207      *       *       500           //Complex Potion
7208      *       *       750           //Large Complex Potion
7213      *       *       15            //Pumpkin of Luck
7214      *       *       15            //Jack O'Lantern Blessings
7215      *       *       15            //Jack O'Lantern Wrath
7216      *       *       15            //Jack O'Lantern Cry
7217      *       *       15            //Jack O'Lantern Food
7218      *       *       15            //Jack O'Lantern Drink
7219      *       *       2000          //Chistmas Star
7223      *       *       900           //Green Chaos Box
7224      *       *       900           //Red Chaos Box
7225      *       *       900           //Purple Chaos Box
7231      *       *       2000          //Firecracker
7232      *       *       900           //Cursed Castle Water
7233      *       *       900           //Death-beam Knight Flame
7234      *       *       900           //Hell-Miner Horn
7235      *       *       900           //Dark Phoenix Feather
7236      *       *       900           //Abyssal Eye
7253      *       *       30            //Cherry Blossom Wine
7254      *       *       30            //Cherry Blossom Rice Cake
7255      *       *       30            //Cherry Blossom Flower Petal
7256      *       *       30            //White Cherry Blossom Branch
7257      *       *       30            //Red Cherry Blossom Branch
7258      *       *       30            //Golden Cherry Blossom Branch
7268      *       *       30            //Lucky Coin

6274	  *       *       1000          //Chaos Weapon Recipe
6275	  *       *       1000          //Wings Recipe
end
