3
//Index   DropRate
0         10000
1         3000
2         10000
3         10000
4         2000
end

4
//Index   Section   SectionRate   MoneyAmount   OptionValue   DW   DK   FE   MG   DL   SU
0         5         10000          1000          0             1    1    1    1    1    1
1         5         10000          1000          0             1    1    1    1    1    1
2         6         10000          1000          0             1    1    1    1    1    1
3         6         10000          1000          0             1    1    1    1    1    1
4         6         10000          1000          0             1    1    1    1    1    1
end

5											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
07,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Helm
08,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Armor
09,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Pants
10,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Gloves
11,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Boots
07,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Helm
08,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Armor
09,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Pants
10,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Gloves
11,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Boots
07,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Helm
08,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Armor
09,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Pants
10,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Gloves
11,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Boots
07,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Helm
08,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Armor
09,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Pants
10,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Gloves
11,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Boots
08,032	0	0	*	*	16	32	29	*	*	0	//Volcano Armor
09,032	0	0	*	*	16	32	29	*	*	0	//Volcano Pants
10,032	0	0	*	*	16	32	29	*	*	0	//Volcano Gloves
11,032	0	0	*	*	16	32	29	*	*	0	//Volcano Boots
07,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Helm
08,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Armor
09,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Pants
10,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Gloves
11,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Boots
											
00,022	0	0	*	12	16	32	29	*	*	0	//Bone Blade
00,023	0	0	*	12	16	32	29	*	*	0	//Explosion Blade
05,012	0	0	*	*	16	32	29	*	*	0	//Grand Viper Staff
05,011	0	0	41	*	16	32	29	*	*	0	//Staff of Kundun
04,021	0	0	*	12	16	32	29	*	*	0	//Sylph Wind Bow
02,013	0	0	*	12	16	32	29	*	*	0	//Divine Scepter of Archangel
02,014	0	0	*	12	16	32	29	*	*	0	//Soleil Scepter
05,019	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Stick
end											
											
6												
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment	
11,004	0	0	54	*	17	32	*	24	*	0	//Evis Bone Boots 	
13,026	0	0	54	*	*	32	*	24	*	0	//Evis Pendant of Wind	
												
07,007	0	0	54	*	17	32	*	24	*	0	//Hera Sphinx Armor 	
09,007	0	0	54	*	17	32	*	24	*	0	//Hera Sphinx Pants 	
11,007	0	0	54	*	17	32	*	24	*	0	//Hera Sphinx Boots 	
10,007	0	0	54	*	17	32	*	24	*	0	//Hera Sphinx Gloves 	
07,007	0	0	54	*	17	32	*	24	*	0	//Hera Sphinx Helm 	
06,006	0	0	54	*	17	32	*	24	*	0	//Hera Skull Shield 	
												
11,010	0	0	54	*	17	32	*	24	*	0	//Ceto Vine Boots 	
09,010	0	0	54	*	17	32	*	24	*	0	//Ceto Vine Pants 	
10,010	0	0	54	*	17	32	*	24	*	0	//Ceto Vine Gloves 	
07,010	0	0	54	*	17	32	*	24	*	0	//Ceto Vine Helm 	
00,002	0	0	54	*	17	32	*	24	*	0	//Ceto Rapier Sword 	
13,022	0	0	54	*	*	32	*	24	*	0	//Ceto Ring of Earth	
												
09,011	0	0	54	*	17	32	*	24	*	0	//Gaia Silk Pants 	
08,011	0	0	54	*	17	32	*	24	*	0	//Gaia Silk Armor 	
07,011	0	0	54	*	17	32	*	24	*	0	//Gaia Silk Helm 	
10,011	0	0	54	*	17	32	*	24	*	0	//Gaia Silk Gloves 	
04,009	0	0	54	12	17	32	*	24	*	0	//Gaia Golden Crossbow 	
												
07,012	0	0	54	*	17	32	*	24	*	0	//Odin Wind Helm 	
08,012	0	0	54	*	17	32	*	24	*	0	//Odin Wind Armor 	
09,012	0	0	54	*	17	32	*	24	*	0	//Odin Wind Pants 	
10,012	0	0	54	*	17	32	*	24	*	0	//Odin Wind Gloves 	
11,012	0	0	54	*	17	32	*	24	*	0	//Odin Wind Boots 	
												
08,013	0	0	54	*	17	32	*	24	*	0	//Argo Spirit Armor 	
09,013	0	0	54	*	17	32	*	24	*	0	//Argo Spirit Pants 	
10,013	0	0	54	*	17	32	*	24	*	0	//Argo Spirit Gloves 	
												
08,014	0	0	54	*	17	32	*	24	*	0	//Gywen Guardian Armor 	
10,014	0	0	54	*	17	32	*	24	*	0	//Gywen Guardian Gloves 	
11,014	0	0	54	*	17	32	*	24	*	0	//Gywen Guardian Boots 	
04,005	0	0	54	12	17	32	*	24	*	0	//Gywen Sliver bow 	
13,028	0	0	54	*	*	32	*	24	*	0	//Gywen Pendant of ability	
												
07,015	0	0	54	*	17	32	*	24	*	0	//Gaion Storm Crow Helm	
09,015	0	0	54	*	17	32	*	24	*	0	//Gaion Storm Crow Pants	
08,015	0	0	54	*	17	32	*	24	*	0	//Gaion Storm Crow Armor	
13,027	0	0	54	*	*	32	*	24	*	0	//Gaion Pendant of Water	
												
07,026	0	0	54	*	17	32	*	24	*	0	//Agnis Adamantine Mask	
08,026	0	0	54	*	17	32	*	24	*	0	//Agnis Adamantine Armor	
09,026	0	0	54	*	17	32	*	24	*	0	//Agnis Adamantine Pants	
13,009	0	0	54	*	*	32	*	25	*	0	//Agnis Ring of Poison	
												
07,040	0	0	54	*	17	32	*	24	*	0	//Chrono Red Wing Helm	
09,040	0	0	54	*	17	32	*	24	*	0	//Chrono Red Wing Pants	
10,040	0	0	54	*	17	32	*	24	*	0	//Chrono Red Wing Gloves	
13,024	0	0	54	*	*	32	*	25	*	0	//Chrono Ring of Magic	
												
//content zablokowany:												
//07,001	0	0	54	*	17	32	*	25	*	0	//Vicious Dragon Helm
//08,001	0	0	54	*	17	32	*	25	*	0	//Vicious Dragon Armor 
//09,001	0	0	54	*	17	32	*	25	*	0	//Vicious Dragon Pants
//13,022	0	0	54	*	*	32	*	25	*	0	//Vicious Ring of Earth
												
//07,003	0	0	54	*	17	32	*	25	*	0	//Enis Legendary Helm 
//08,003	0	0	54	*	17	32	*	25	*	0	//Enis Legendary Armor 
//09,003	0	0	54	*	17	32	*	25	*	0	//Enis Legendary Pants
//11,003	0	0	54	*	17	32	*	25	*	0	//Enis Legendary Boots
												
//07,014	0	0	54	*	17	32	*	25	*	0	//Aruan Guardian Helm
//08,014	0	0	54	*	17	32	*	25	*	0	//Aruan Guardian Armor 
//09,014	0	0	54	*	17	32	*	25	*	0	//Aruan Guardian Pants
//11,014	0	0	54	*	17	32	*	25	*	0	//Aruan Guardian Boots 
												
//08,026	0	0	54	*	17	32	*	25	*	0	//Muren Storm Crow Armor
//09,026	0	0	54	*	17	32	*	25	*	0	//Muren Storm Crow Pants
//10,026	0	0	54	*	17	32	*	25	*	0	//Muren Storm Crow Gloves
//13,021	0	0	54	*	*	32	*	25	*	0	//Muren Ring of Fire
												
//09,026	0	0	54	*	17	32	*	25	*	0	//Broy Adamantine Pants
//10,026	0	0	54	*	17	32	*	25	*	0	//Broy Adamantine Gloves
//11,026	0	0	54	*	17	32	*	25	*	0	//Broy Adamantine Boots
//13,025	0	0	54	*	*	32	*	25	*	0	//Broy Pendant of Ice
												
//07,040	0	0	54	*	17	32	*	25	*	0	//Sedemen Red Wing Helm
//08,040	0	0	54	*	17	32	*	25	*	0	//Sedemen Red Wing Armor
//10,040	0	0	54	*	17	32	*	25	*	0	//Sedemen Red Wing Gloves
//11,040	0	0	54	*	17	32	*	25	*	0	//Sedemen Red Wing Boots
end												
											
																		
